Contract Account,Meterid,CoCd,OPCO
20032274795,102979194,1000,RGE
20090438613,102979195,1000,RGE
20032784603,102979196,1000,RGE
20032437012,102979197,1000,RGE
20032925537,102979219,1000,RGE
20032654129,102979220,1000,RGE
20090361666,102979221,1000,RGE
20090397355,102979242,1000,RGE
20032626234,102979243,1000,RGE
20032641530,102979244,1000,RGE
20032809962,102979245,1000,RGE
20032346205,102979266,1000,RGE
20090409846,102979268,1000,RGE
20022621195,102994282,1000,RGE
20022085979,102994283,1000,RGE
20027803145,102994284,1000,RGE
20026874956,102994285,1000,RGE
20029387253,102999683,1000,RGE
20012823223,103021466,1000,RGE
20016147553,103021467,1000,RGE
20017223791,103021468,1000,RGE
20011798483,103021469,1000,RGE
20012607915,103021470,1000,RGE
20029287198,103021471,1000,RGE
20029204706,103021473,1000,RGE
20090493899,103021473,1000,RGE
20031896887,103021478,1000,RGE
20032325563,103021479,1000,RGE
20032044636,103021480,1000,RGE
20030712267,103021481,1000,RGE
20090343037,103021494,1000,RGE
20024200394,103021495,1000,RGE
20031291816,103021496,1000,RGE
20013870546,103021497,1000,RGE
20014134108,103021506,1000,RGE
20015382649,103021507,1000,RGE
20011823208,103021508,1000,RGE
20013584725,103021509,1000,RGE
20012149090,103021510,1000,RGE
20026823862,103021511,1000,RGE
20032854661,103021512,1000,RGE
20020298293,103021513,1000,RGE
20090530369,103021518,1000,RGE
20032673145,103021519,1000,RGE
20031421421,103021520,1000,RGE
20029552039,103021521,1000,RGE
20014599763,103021522,1000,RGE
20031720541,103021523,1000,RGE
20023318098,103021524,1000,RGE
20013871833,103021525,1000,RGE
20032798124,103021535,1000,RGE
20090408954,103021536,1000,RGE
20031107012,103021538,1000,RGE
20031907346,103021539,1000,RGE
20031933524,103021540,1000,RGE
20090514819,103021541,1000,RGE
20030195182,103021542,1000,RGE
20090520261,103021543,1000,RGE
20032921551,103021545,1000,RGE
20013859457,103021546,1000,RGE
20030719742,103021547,1000,RGE
20024433938,103021548,1000,RGE
20013870637,103021549,1000,RGE
20028741468,103021558,1000,RGE
20026522811,103021559,1000,RGE
20031561432,103021561,1000,RGE
20090509272,103021570,1000,RGE
20032664276,103021571,1000,RGE
20032467357,103021572,1000,RGE
20030037525,103021575,1000,RGE
20011826581,103021576,1000,RGE
20021795123,103021577,1000,RGE
20032664367,103021578,1000,RGE
20090538198,103021578,1000,RGE
20029110291,103021579,1000,RGE
20011825906,103021580,1000,RGE
20032843094,103021590,1000,RGE
20032002774,103021591,1000,RGE
20030544637,103021592,1000,RGE
20014980898,103021593,1000,RGE
20013154057,103021594,1000,RGE
20023830654,103021595,1000,RGE
20019979317,103021596,1000,RGE
20017280270,103021597,1000,RGE
20032464479,103021606,1000,RGE
20032009449,103021607,1000,RGE
20090123330,103021608,1000,RGE
20031860099,103021609,1000,RGE
20090536986,103021610,1000,RGE
20029073184,103021611,1000,RGE
20032117697,103021612,1000,RGE
20032201061,103021613,1000,RGE
20032431916,103021618,1000,RGE
20032417162,103021619,1000,RGE
20020256242,103021620,1000,RGE
20090046192,103021622,1000,RGE
20090443472,103021623,1000,RGE
20090013804,103021624,1000,RGE
20030828550,103021625,1000,RGE
20026591618,103021628,1000,RGE
20027609930,103021629,1000,RGE
20031222647,103021630,1000,RGE
20029138177,103021631,1000,RGE
20010087193,103021632,1000,RGE
20030748436,103021633,1000,RGE
20032632414,103021634,1000,RGE
